code,name1c,cat,sub,metal,qty,shops,per,sales,sum_sales,last_dt,last_price
000111920,серьги 1170008 (Au.585),Серьги,,Золото 585,1,1,19 Истра:1,1,16496,2025-03-02,49990.0
000091130,кольцо 100-1143b (Au.585),Кольца,,Золото 585,2,2,"№1 Раменское №1:1, 11 Ногинск №3:1",1,16491,2022-07-22,27485.0
000079142,серьги (шт.) т101023131 (Au.585),Серьги,,Золото 585,1,1,№1 Раменское №1:1,1,16474,2023-02-14,29952.0
000094207,подвеска 1400235447 (Au.585),Подвески,,Золото 585,1,1,№5 Озёры:1,1,16445,2023-06-16,25300.0
000102296,серьги с1102299 (Au.585),Серьги,,Золото 585,1,1,№4 Луховицы:1,1,16440,2023-10-24,27400.0
000029052,серьги 200-510 раухтопаз цитрин,Серьги,,,1,1,№4 Луховицы:1,1,16425,2017-07-23,21900.0
000115992,кольцо 63010003 (Ag.925),Кольца,,Серебро 925,2,1,17 Солнечногорск:2,1,16394,2026-02-22,53990.0
000116228,цепь б-80-р (Ag.925),Цепи,,Серебро 925,7,5,"№4 Луховицы:3, 15 Егорьевск №2:1, №5 Озёры:1, 18 Подружка:1, 12 Воскресенск №2:1",1,16387,2026-07-16,36416.0
000087029,серьги л1201320 (Au.585),Серьги,,Золото 585,2,2,"18 Подружка:1, 12 Воскресенск №2:1",1,16380,2024-10-28,36400.0
000104058,Серьги 1021451,Серьги,,,1,1,17 Солнечногорск:1,1,16361,2024-04-27,44990.0
000102951,кольцо тквп15-3 (Au.585),Кольца,,Золото 585,1,1,№1 Раменское №1:1,1,16356,2025-06-11,40890.0
000087572,подвеска 04-63-0017-00 (Au.585),Подвески,,Золото 585,2,2,"18 Подружка:1, 12 Воскресенск №2:1",1,16347,2024-09-29,38016.0
000069481,серьги 21801619 (Au.585),Серьги,,Золото 585,1,1,№4 Луховицы:1,1,16341,2019-05-19,21788.2
000059764,кольцо (шт.) к0444-222 (Au.585),Кольца,,Золото 585,1,1,№5 Озёры:1,1,16296,2019-01-03,23280.0
000092167,кольцо 100-1632 (Au.585),Кольца,,Золото 585,1,1,15 Егорьевск №2:1,1,16255,2023-01-26,29555.0
000090079,серьги 1232846/ч (Au.585),Серьги,,Золото 585,1,1,11 Ногинск №3:1,1,16241,2022-02-22,24608.0
000113619,подвеска 1406135539 (Au.585),Подвески,,Золото 585,1,1,№1 Раменское №1:1,1,16227,2026-05-24,36060.0
000117739,кольцо к-1365ф (Au.585),Кольца,,Золото 585,1,1,№5 Озёры:1,1,16219,2026-06-02,36043.0
000086772,серьги вс-2174 (Au.585),Серьги,,Золото 585,3,3,"№1 Раменское №1:1, №4 Луховицы:1, 11 Ногинск №3:1",1,16215,2022-10-03,32430.0
000095749,подвеска 390-1-989р (Au.585),Подвески,,Золото 585,1,1,11 Ногинск №3:1,1,16200,2024-07-14,36000.0
000114501,серьги (шт.) se36215 (Ag.925),Серьги,,Серебро 925,1,1,№1 Раменское №1:1,1,16185,2025-12-09,32370.0
000088968,серьги ас948-3807 (Au.585),Серьги,,Золото 585,1,1,№1 Раменское №1:1,1,16140,2023-03-24,26900.0
000109392,кольцо 019415 (Au.585),Кольца,,Золото 585,1,1,17 Солнечногорск:1,1,16095,2024-06-12,37990.0
000112844,колье нх12-1901 (Au.585),Колье,,Золото 585,1,1,11 Ногинск №3:1,1,16092,2026-08-19,33525.0
000095748,кольцо 190-1-989р (Au.585),Кольца,,Золото 585,1,1,11 Ногинск №3:1,1,16066,2023-11-11,29210.0
000087742,кольцо 100-1378 (Au.585),Кольца,,Золото 585,1,1,11 Ногинск №3:1,1,16066,2023-12-31,29210.0
000097133,кольцо 51-310-01341-1 пл/др гран (Au.585),Кольца,,Золото 585,1,1,№4 Луховицы:1,1,16042,2025-09-23,35650.0
000101109,серьги 1400015113 (Au.585),Серьги,,Золото 585,1,1,18 Подружка:1,1,15998,2026-06-17,35550.0
000105890,кольцо 018993 (Au.585),Кольца,,Золото 585,4,2,"№7 Егорьевск №1:2, 17 Солнечногорск:2",1,15996,2026-04-29,39990.0
000115007,кольцо 019685 (Au.585),Кольца,,Золото 585,1,1,17 Солнечногорск:1,1,15993,2026-06-10,29990.0
000061771,кольцо пч 1200205120л-1 (Au.585),Кольца,,Золото 585,1,1,№1 Раменское №1:1,1,15950,2020-07-16,31899.0
000091603,кольцо л1102600 (Au.585),Кольца,,Золото 585,1,1,12 Воскресенск №2:1,1,15922,2023-08-19,26536.0
000085043,колье (шт.) бр070124б (Au.585),Колье,,Золото 585,1,1,18 Подружка:1,1,15896,2022-04-08,24456.0
000113362,кольцо 71-00011-3 (Au.585),Кольца,,Золото 585,1,1,19 Истра:1,1,15875,2025-02-21,97990.0
000093396,серьги 4323-1 (Au.585),Серьги,,Золото 585,1,1,№5 Озёры:1,1,15840,2024-07-26,35200.0
000112605,кольцо к13219506 (Au.585),Кольца,,Золото 585,1,1,№1 Раменское №1:1,1,15804,2025-08-24,39510.0
000116131,подвеска по-0342 (Au.585),Подвески,,Золото 585,7,7,"15 Егорьевск №2:1, №1 Раменское №1:1, №4 Луховицы:1, №5 Озёры:1, 11 Ногинск №3:1, 12 Воскресенск №2:1, 14 Электрогорск:1",1,15793,2025-12-10,31586.4
000050738,кольцо 190-1-791р (Au.585),Кольца,,Золото 585,1,1,№5 Озёры:1,1,15792,2024-05-04,15792.0
000097085,цепь 51-180-04035-1б/к-ромбо (Au.585),Цепи,,Золото 585,1,1,12 Воскресенск №2:1,1,15792,2022-12-23,64990.0
000102743,подвеска 02-314ч (Ag.925),Подвески,,Серебро 925,1,1,№5 Озёры:1,1,15768,2024-07-19,35040.0
000096473,кольцо ж-101 (Au.585),Кольца,,Золото 585,3,3,"15 Егорьевск №2:1, №4 Луховицы:1, 11 Ногинск №3:1",1,15755,2023-01-26,31510.0
000061383,серьги с-1054 (Au.585),Серьги,,Золото 585,1,1,18 Подружка:1,1,15753,2020-08-24,21004.0
000085999,кольцо 100-1318 (Au.585),Кольца,,Золото 585,1,1,15 Егорьевск №2:1,1,15750,2026-07-01,78750.0
000115215,серьги 729265 (Au.585),Серьги,,Золото 585,2,2,"№7 Егорьевск №1:1, 17 Солнечногорск:1",1,15747,2026-02-07,62990.0
000053796,браслет б060 роза (Au.585),Браслеты,,Золото 585,1,1,18 Подружка:1,1,15662,2020-03-13,24096.0
000092163,кольцо 100-1623 (Au.585),Кольца,,Золото 585,1,1,№5 Озёры:1,1,15660,2024-11-13,78300.0
000109362,подвеска 120112 (Au.585),Подвески,,Золото 585,1,1,17 Солнечногорск:1,1,15657,2024-08-17,57990.0
000053008,серьги 200-989 (Au.585),Серьги,,Золото 585,1,1,12 Воскресенск №2:1,1,15656,2019-06-05,19570.0
000104084,колье 1070170 (Au.585),Колье,,Золото 585,1,1,17 Солнечногорск:1,1,15597,2023-12-29,59990.0
000114082,серьги 0200709 (Au.585),Серьги,,Золото 585,1,1,№7 Егорьевск №1:1,1,15596,2026-08-14,38990.0
000110800,брошь 040340 (Au.585),Броши,,Золото 585,1,1,17 Солнечногорск:1,1,15594,2025-05-02,25990.0
000090295,кольцо 100-1398 (Au.585),Кольца,,Золото 585,2,2,"№4 Луховицы:1, 14 Электрогорск:1",1,15582,2022-10-21,31165.0
000083416,серьги 200-1593 (Au.585),Серьги,,Золото 585,1,1,11 Ногинск №3:1,1,15540,2026-03-04,77700.0
000069143,кольцо 791114 (Au.585),Кольца,,Золото 585,1,1,№4 Луховицы:1,1,15512,2025-06-25,15512.0
000101604,кольцо 1400003011 (Au.585),Кольца,,Золото 585,2,1,№1 Раменское №1:2,1,15482,2024-08-19,34404.0
000105678,кольцо 716199 (Au.585),Кольца,,Золото 585,1,1,17 Солнечногорск:1,1,15476,2024-06-29,42990.0
000029163,серьги 200-979 шпинель-лондон,Серьги,,,1,1,№5 Озёры:1,1,15469,2016-12-08,18637.5
000091959,кольцо 100-1242 (Au.585),Кольца,,Золото 585,1,1,14 Электрогорск:1,1,15468,2022-06-25,30935.0
000091128,подвеска (шт.) 31725-251-46-00 (Au.585),Подвески,,Золото 585,1,1,№5 Озёры:1,1,15444,2022-06-20,28080.0
000111782,серьги 121369 (Au.585),Серьги,,Золото 585,3,3,"№4 Луховицы:1, 11 Ногинск №3:1, 12 Воскресенск №2:1",1,15416,2025-07-18,38540.0
000096461,кольцо ж-093 (Au.585),Кольца,,Золото 585,1,1,11 Ногинск №3:1,1,15410,2023-03-24,30820.0
000113910,браслет 94051002 (Ag.925),Браслеты,,Серебро 925,1,1,17 Солнечногорск:1,1,15393,2025-09-10,21990.0
000092273,подвеска (шт.) 03-3053-00-203-1110-57 (Au.585),Подвески,,Золото 585,1,1,18 Подружка:1,1,15365,2023-01-31,30730.0
000087761,кольцо 100-1145 (Au.585),Кольца,,Золото 585,1,1,18 Подружка:1,1,15340,2026-01-24,15340.0
000092400,серьги вс-2611 (Au.585),Серьги,,Золото 585,1,1,18 Подружка:1,1,15295,2022-08-20,30590.0
000105642,кольцо 71-00004 (Au.585),Кольца,,Золото 585,3,2,"17 Солнечногорск:2, 19 Истра:1",1,15284,2024-02-11,52990.0
000118207,цепь пгв150-ч (Ag.925),Цепи,,Серебро 925,2,2,"№1 Раменское №1:1, 11 Ногинск №3:1",1,15260,2026-08-20,43600.0
