code,name1c,cat,sub,metal,qty,shops,per,sales,sum_sales,last_dt,last_price
000062603,браслет 101060 (Au.585),Браслеты,,Золото 585,13,6,"№1 Раменское №1:3, 11 Ногинск №3:3, №4 Луховицы:2, 18 Подружка:2, 12 Воскресенск №2:2, 15 Егорьевск №2:1",101,2359823,2026-08-14,145350.0
000064402,цепь 9026030_р (Ag.925),Цепи,,Серебро 925,18,8,"14 Электрогорск:4, 15 Егорьевск №2:3, №5 Озёры:3, №1 Раменское №1:2, №4 Луховицы:2, 11 Ногинск №3:2, 18 Подружка:1, 12 Воскресенск №2:1",101,116220,2026-06-16,4400.0
000063768,цепь 1658050010 (Au.585),Цепи,,Золото 585,27,8,"№5 Озёры:5, 15 Егорьевск №2:4, №4 Луховицы:4, 11 Ногинск №3:4, №1 Раменское №1:3, 18 Подружка:3, 12 Воскресенск №2:3, 14 Электрогорск:1",100,2977467,2026-06-27,123525.0
000012437,подвеска т13096042,Подвески,,,4,4,"15 Егорьевск №2:1, №1 Раменское №1:1, №5 Озёры:1, 11 Ногинск №3:1",100,353381,2023-01-23,8800.0
000000014,кольцо обр глк 14000035,Кольца,Обручальные,,2,2,"№1 Раменское №1:1, 12 Воскресенск №2:1",99,447873,2022-12-13,13440.0
000095678,колье гш-1 (Ag.925),Колье,,Серебро 925,19,5,"№1 Раменское №1:7, 11 Ногинск №3:4, 15 Егорьевск №2:3, 18 Подружка:3, 14 Электрогорск:2",98,60775,2026-08-07,1170.0
000060817,кольцо обр с1-230р200 (Ag.925),Кольца,Обручальные,Серебро 925,3,1,15 Егорьевск №2:3,97,103060,2025-02-12,2805.0
000091115,цепь нц18-053-3 (Au.585),Цепи,,Золото 585,15,4,"№5 Озёры:6, №4 Луховицы:4, 12 Воскресенск №2:4, 11 Ногинск №3:1",96,1738364,2026-08-31,65025.0
000081792,цепь 9007070 (Ag.925),Цепи,,Серебро 925,15,8,"№1 Раменское №1:3, №4 Луховицы:3, №5 Озёры:2, 12 Воскресенск №2:2, 14 Электрогорск:2, 15 Егорьевск №2:1, 18 Подружка:1, 11 Ногинск №3:1",96,246293,2026-06-24,12768.0
000079921,колье 73-000 (Ag.925),Колье,,Серебро 925,3,3,"15 Егорьевск №2:1, №1 Раменское №1:1, 12 Воскресенск №2:1",96,59856,2026-04-05,1431.0
000064406,цепь 9016030 (Ag.925),Цепи,,Серебро 925,3,2,"№1 Раменское №1:2, 14 Электрогорск:1",96,38270,2024-04-03,1104.0
000080491,кольцо 20-012 (Ag.925),Кольца,,Серебро 925,4,3,"№1 Раменское №1:2, 15 Егорьевск №2:1, №4 Луховицы:1",96,35848,2025-06-28,3264.0
000003466,подвеска вп-1291 (Au.585),Подвески,,Золото 585,3,3,"№4 Луховицы:1, №5 Озёры:1, 11 Ногинск №3:1",95,3773996,2026-07-01,238661.4
000042502,серьги вс-2386ч/б (Au.585),Серьги,,Золото 585,4,4,"15 Егорьевск №2:1, №1 Раменское №1:1, 11 Ногинск №3:1, 12 Воскресенск №2:1",95,2087772,2026-03-07,122590.0
000001516,кольцо обр глк гл-50-01-3-16-000,Кольца,Обручальные,,1,1,15 Егорьевск №2:1,95,1402574,2021-01-04,31927.5
000063312,цепь 1658030300 (Au.585),Цепи,,Золото 585,21,7,"№4 Луховицы:4, 18 Подружка:4, 12 Воскресенск №2:4, №1 Раменское №1:3, 11 Ногинск №3:3, №5 Озёры:2, 15 Егорьевск №2:1",95,816547,2026-08-11,36225.0
000064373,цепь 9016060 (Ag.925),Цепи,,Серебро 925,2,1,№5 Озёры:2,95,158284,2023-04-28,3081.8
000083770,цепь 9033030_р (Ag.925),Цепи,,Серебро 925,18,7,"№1 Раменское №1:4, №5 Озёры:4, 11 Ногинск №3:3, 12 Воскресенск №2:3, 14 Электрогорск:2, 15 Егорьевск №2:1, №4 Луховицы:1",95,67478,2026-07-18,3216.0
000081803,цепь 52105 (Au.585),Цепи,,Золото 585,1,1,№4 Луховицы:1,93,4068421,2024-02-03,110640.0
000001876,подвеска 030733 (Au.585),Подвески,,Золото 585,2,1,18 Подружка:2,93,267427,2025-06-26,16835.0
000051297,серьги всс-2386 (Ag.925),Серьги,,Серебро 925,1,1,№5 Озёры:1,93,156872,2024-09-19,8100.0
000077293,кольцо обр двуспл к-750 (Au.585),Кольца,Обручальные,Золото 585,17,3,"№4 Луховицы:8, 11 Ногинск №3:5, №1 Раменское №1:4",92,1910793,2026-08-15,64896.0
000060799,цепь нц18-078-3 (Au.585),Цепи,,Золото 585,2,2,"18 Подружка:1, 11 Ногинск №3:1",92,1391673,2026-07-05,78300.0
000083771,цепь 9016030_р (Ag.925),Цепи,,Серебро 925,18,7,"№4 Луховицы:4, 15 Егорьевск №2:3, 11 Ногинск №3:3, 12 Воскресенск №2:3, №1 Раменское №1:2, №5 Озёры:2, 14 Электрогорск:1",92,58358,2026-07-13,3408.0
000000284,браслет нб12-200,Браслеты,,,2,1,12 Воскресенск №2:2,91,1554619,2023-07-23,101928.0
000000164,браслет нб12-100,Браслеты,,,8,4,"15 Егорьевск №2:3, №5 Озёры:2, 12 Воскресенск №2:2, №1 Раменское №1:1",91,1073092,2026-08-12,74700.0
000002302,браслет (шт.) d8-9/з (Au.585),Браслеты,,Золото 585,19,6,"№5 Озёры:4, 15 Егорьевск №2:3, №4 Луховицы:3, 18 Подружка:3, 12 Воскресенск №2:3, 14 Электрогорск:3",91,392259,2026-08-30,18320.0
000057037,кольцо обр двуспл к-500 (Au.585),Кольца,Обручальные,Золото 585,31,3,"№4 Луховицы:12, 11 Ногинск №3:10, №1 Раменское №1:9",90,2287443,2026-08-26,69760.0
000006736,цепь 110305001,Цепи,,,3,3,"15 Егорьевск №2:1, 11 Ногинск №3:1, 14 Электрогорск:1",90,668380,2026-08-30,62325.0
000000375,подвеска т13096150,Подвески,,,1,1,11 Ногинск №3:1,90,357976,2025-08-07,34429.5
000087115,браслет нб22-080ю-3 (Ag.925),Браслеты,,Серебро 925,14,5,"№4 Луховицы:4, 12 Воскресенск №2:4, №5 Озёры:3, №1 Раменское №1:2, 15 Егорьевск №2:1",90,122389,2026-03-17,6976.0
000064401,цепь 9005050 (Ag.925),Цепи,,Серебро 925,4,4,"15 Егорьевск №2:1, №5 Озёры:1, 18 Подружка:1, 12 Воскресенск №2:1",90,109680,2026-07-22,6736.0
000104234,цепь 988500402 (Ag.925),Цепи,,Серебро 925,22,2,"№7 Егорьевск №1:12, 17 Солнечногорск:10",90,78289,2026-08-22,2580.0
